Button Label,Location,Action,Expected Payload,Test Case,Accessibility,Analytics Event
AI Optimization,Dashboard,runQuickOptimization(),"{algorithm: 'hybrid', target: 'throughput'}",E2E_001_optimization,aria-label="Run AI optimization",button_click_ai_optimize
Emergency Protocol,Dashboard,setActiveTab('alerts'),"{tab: 'alerts'}",E2E_002_emergency,aria-label="Switch to emergency alerts",button_click_emergency
Route Planning,Dashboard,setActiveTab('scenarios'),"{tab: 'scenarios'}",E2E_003_route_planning,aria-label="Open route planning",button_click_route_planning
Performance Report,Dashboard,setActiveTab('performance'),"{tab: 'performance'}",E2E_004_performance,aria-label="View performance report",button_click_performance
Zoom to Train,Train Visualization,centerMapOnTrain(),"{trainId: string, follow: boolean}",UNIT_001_zoom_train,aria-label="Center map on selected train",button_click_zoom_train
Resolve Conflict,Scenario Analysis,openConflictResolution(),"{conflictId: string}",E2E_005_resolve_conflict,aria-label="Open conflict resolution modal",button_click_resolve_conflict
Export CSV,Performance Dashboard,exportPerformanceData(),"{format: 'csv', timeRange: string}",UNIT_002_export_csv,aria-label="Export performance data as CSV",button_click_export_csv
Simulation Play,Scenario Analysis,runScenario(),"{scenarioId: string, mode: 'play'}",E2E_006_simulation_play,aria-label="Start scenario simulation",button_click_simulation_play
Simulation Pause,Scenario Analysis,pauseScenario(),"{scenarioId: string, mode: 'pause'}",UNIT_003_simulation_pause,aria-label="Pause scenario simulation",button_click_simulation_pause
Generate Suggestions,Conflict Modal,generateAISuggestions(),"{conflictId: string, useAI: true}",UNIT_004_ai_suggestions,aria-label="Generate AI resolution suggestions",button_click_generate_suggestions
Apply Resolution,Conflict Modal,handleResolve(),"{conflictId: string, suggestionId?: string}",E2E_007_apply_resolution,aria-label="Apply selected conflict resolution",button_click_apply_resolution
Optimize Route,Train Control,handleTrainControl(),"{trainId: string, action: 'optimize_route'}",UNIT_005_optimize_route,aria-label="Optimize train route",button_click_optimize_route
Emergency Stop,Train Control,handleTrainControl(),"{trainId: string, action: 'emergency_stop'}",UNIT_006_emergency_stop,aria-label="Execute emergency stop",button_click_emergency_stop
Auto-Resolve,Conflict Detection,resolveConflict(),"{conflictId: string, method: 'auto'}",E2E_008_auto_resolve,aria-label="Automatically resolve conflict",button_click_auto_resolve
Manual Resolve,Conflict Detection,openConflictResolution(),"{conflictId: string, method: 'manual'}",E2E_009_manual_resolve,aria-label="Manually resolve conflict",button_click_manual_resolve
Enable Detection,Conflict Detection,setConflictDetectionActive(),"{active: true}",UNIT_007_enable_detection,aria-label="Enable conflict detection",button_click_enable_detection
Disable Detection,Conflict Detection,setConflictDetectionActive(),"{active: false}",UNIT_008_disable_detection,aria-label="Disable conflict detection",button_click_disable_detection
Create Scenario,Scenario Creation,createScenario(),"{name: string, type: string, parameters: object}",E2E_010_create_scenario,aria-label="Create new scenario",button_click_create_scenario
Reset Form,Scenario Creation,resetScenarioForm(),"{}",UNIT_009_reset_form,aria-label="Reset scenario form",button_click_reset_form
Use Template,Scenario Templates,useTemplate(),"{templateId: string}",UNIT_010_use_template,aria-label="Use scenario template",button_click_use_template
Duplicate Scenario,Scenario Management,duplicateScenario(),"{scenarioId: string}",UNIT_011_duplicate_scenario,aria-label="Duplicate scenario",button_click_duplicate_scenario
Export Results,Scenario Results,exportScenarioResults(),"{scenarioId: string, format: 'pdf'}",UNIT_012_export_results,aria-label="Export scenario results",button_click_export_results
Copy Report Link,Performance Reports,copyReportLink(),"{reportId: string}",UNIT_013_copy_link,aria-label="Copy report link to clipboard",button_click_copy_link
Toggle Stations,Map Layers,setMapLayers(),"{stations: boolean}",UNIT_014_toggle_stations,aria-label="Toggle station visibility",button_click_toggle_stations
Toggle Zones,Map Layers,setMapLayers(),"{zones: boolean}",UNIT_015_toggle_zones,aria-label="Toggle zone visibility",button_click_toggle_zones
Regenerate Suggestions,Conflict Modal,generateAISuggestions(),"{conflictId: string, regenerate: true}",UNIT_016_regenerate_suggestions,aria-label="Regenerate AI suggestions",button_click_regenerate_suggestions
Load Demo Data,Demo Mode,loadDemoSeed(),"{mode: string}",E2E_011_load_demo,aria-label="Load demo seed data",button_click_load_demo
Start Demo Simulation,Demo Mode,startDemoSimulation(),"{scenario: string, timeScale: number}",E2E_012_demo_simulation,aria-label="Start demo simulation",button_click_demo_simulation
